Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,_Ast,_xAG,_xA,_A-xAG,_KP,_1/3,_PPA,_CrsPA,_PrgP,_Matches,Season,Squad
Oliver Norwood,nir NIR,MF,29.0,24.7,1205,1532,78.7,23516,7230,472,526,89.7,524,607,86.3,183,334,54.8,0,2.0,2.1,-2.0,31,134,27,8,125,Matches,2020-2021,Sheffield United
Ethan Ampadu,wls WAL,"DF,MF",19.0,23.2,870,1087,80.0,15680,5536,370,424,87.3,378,446,84.8,102,158,64.6,0,1.2,1.1,-1.2,11,76,14,2,100,Matches,2020-2021,Sheffield United
John Lundstram,eng ENG,MF,26.0,22.6,859,1082,79.4,13623,3077,417,454,91.9,295,352,83.8,79,168,47.0,2,1.3,1.6,0.7,20,64,14,2,78,Matches,2020-2021,Sheffield United
Ben Osborn,eng ENG,"MF,DF",25.0,17.8,660,859,76.8,8905,3102,420,466,90.1,169,221,76.5,33,85,38.8,0,2.0,2.0,-2.0,17,53,27,11,77,Matches,2020-2021,Sheffield United
Oliver Burke,sct SCO,FW,23.0,14.1,178,262,67.9,1997,309,114,150,76.0,31,45,68.9,4,8,50.0,1,2.2,1.5,-1.2,15,5,10,0,19,Matches,2020-2021,Sheffield United
Sander Berge,no NOR,MF,22.0,12.4,378,464,81.5,5944,1357,198,229,86.5,138,154,89.6,28,45,62.2,1,1.1,0.8,-0.1,13,28,4,2,39,Matches,2020-2021,Sheffield United
Oliver McBurnie,sct SCO,FW,24.0,14.7,253,447,56.6,3038,853,165,257,64.2,55,107,51.4,8,11,72.7,0,1.1,1.0,-1.1,15,24,14,0,44,Matches,2020-2021,Sheffield United
Rhian Brewster,eng ENG,"FW,MF",20.0,12.5,157,225,69.8,2231,556,98,125,78.4,37,54,68.5,12,22,54.5,0,1.6,0.6,-1.6,11,15,4,3,20,Matches,2020-2021,Sheffield United
Jayden Bogle,eng ENG,"DF,MF",20.0,12.3,296,387,76.5,3834,1410,189,214,88.3,71,96,74.0,8,28,28.6,0,0.2,0.4,-0.2,4,14,9,1,24,Matches,2020-2021,Sheffield United
Kean Bryan,eng ENG,DF,23.0,11.2,333,486,68.5,5901,2652,151,179,84.4,140,183,76.5,32,94,34.0,0,0.6,0.1,-0.6,4,24,3,2,22,Matches,2020-2021,Sheffield United
Jack Robinson,eng ENG,DF,26.0,9.7,364,470,77.4,6071,2267,165,185,89.2,161,196,82.1,24,61,39.3,1,0.6,0.7,0.4,1,20,1,0,22,Matches,2020-2021,Sheffield United
Billy Sharp,eng ENG,FW,34.0,8.2,85,123,69.1,1003,155,53,69,76.8,24,33,72.7,0,1,0.0,0,0.5,0.6,-0.5,4,1,3,0,11,Matches,2020-2021,Sheffield United
Max Lowe,eng ENG,DF,23.0,6.1,147,221,66.5,2013,664,90,111,81.1,42,64,65.6,7,21,33.3,0,0.1,0.2,-0.1,2,15,5,1,14,Matches,2020-2021,Sheffield United
Phil Jagielka,eng ENG,DF,37.0,5.8,148,209,70.8,3289,1135,39,49,79.6,76,98,77.6,30,51,58.8,0,0.0,0.0,0.0,0,7,0,0,6,Matches,2020-2021,Sheffield United
Daniel Jebbison,eng ENG,FW,17.0,3.2,24,36,66.7,271,32,12,17,70.6,4,6,66.7,1,2,50.0,0,0.0,0.1,0.0,1,2,0,0,1,Matches,2020-2021,Sheffield United
Lys Mousset,fr FRA,"FW,MF",24.0,3.3,34,46,73.9,476,74,19,22,86.4,11,14,78.6,2,3,66.7,0,0.3,0.1,-0.3,3,4,0,0,3,Matches,2020-2021,Sheffield United
Jack O'Connell,eng ENG,DF,26.0,2.0,56,79,70.9,1001,412,22,23,95.7,25,33,75.8,8,17,47.1,0,0.0,0.0,0.0,0,4,1,0,5,Matches,2020-2021,Sheffield United
Iliman Ndiaye,sn SEN,MF,20.0,0.1,3,3,100.0,34,11,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches,2020-2021,Sheffield United
Antwoine Hackford,eng ENG,DF,16.0,0.1,1,1,100.0,2,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2020-2021,Sheffield United
Femi Seriki,eng ENG,MF,18.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2020-2021,Sheffield United
Squad Total,,,26.7,38.0,12146,16264,74.7,207510,78589,6006,6905,87.0,4331,5303,81.7,1277,2840,45.0,13,24.9,22.0,-11.9,253,946,253,65,1196,,2020-2021,Sheffield United
Opponent Total,,,26.7,38.0,18988,23109,82.2,332024,108633,8549,9548,89.5,7891,8978,87.9,1931,3231,59.8,45,45.0,38.5,0.0,415,1211,322,62,1606,,2020-2021,Sheffield United
Sam Johnstone,eng ENG,GK,27.0,37.0,655,1297,50.5,24681,19644,52,53,98.1,217,225,96.4,386,1011,38.2,1,0.2,0.1,0.8,1,22,0,0,0,Matches,2020-2021,West Bromwich Albion
Darnell Furlong,eng ENG,DF,24.0,32.6,682,1204,56.6,11908,5175,333,433,76.9,257,453,56.7,78,232,33.6,3,1.9,1.9,1.1,16,63,18,10,78,Matches,2020-2021,West Bromwich Albion
Semi Ajayi,ng NGA,DF,26.0,30.9,719,999,72.0,13941,6401,264,316,83.5,374,460,81.3,76,188,40.4,0,0.5,0.3,-0.5,7,68,4,0,73,Matches,2020-2021,West Bromwich Albion
