Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,_Ast,_xAG,_xA,_A-xAG,_KP,_1/3,_PPA,_CrsPA,_PrgP,_Matches,Season,Squad
Fabricio,es ESP,GK,30.0,2.0,46,61,75.4,1519,1243,3,3,100.0,20,20,100.0,22,37,59.5,0,0.0,0.0,0.0,0,1,0,0,0,Matches,2018-2019,Fulham
Ibrahima Cissé,gn GUI,MF,24.0,1.0,29,34,85.3,394,158,19,21,90.5,9,11,81.8,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,3,Matches,2018-2019,Fulham
Neeskens Kebano,cd COD,"FW,MF",26.0,1.2,25,31,80.6,340,37,20,22,90.9,4,7,57.1,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,4,Matches,2018-2019,Fulham
Lazar Marković,rs SRB,MF,24.0,0.5,28,29,96.6,333,77,16,17,94.1,7,7,100.0,2,2,100.0,0,0.0,0.0,0.0,1,1,1,0,3,Matches,2018-2019,Fulham
Harvey Elliott,eng ENG,MF,15.0,0.2,10,11,90.9,154,30,5,6,83.3,5,5,100.0,0,0,,0,0.0,0.1,0.0,0,1,1,0,2,Matches,2018-2019,Fulham
Squad Total,,,26.0,38.0,15096,19303,78.2,265652,102124,7060,7958,88.7,6054,7206,84.0,1538,3015,51.0,24,30.0,26.3,-6.0,350,1106,233,69,1487,,2018-2019,Fulham
Opponent Total,,,26.8,38.0,16080,20508,78.4,285688,103831,7371,8429,87.4,6152,7397,83.2,1897,3317,57.2,59,48.2,40.1,10.8,426,1259,382,101,1716,,2018-2019,Fulham
Christopher Schindler,de GER,DF,28.0,36.2,1288,1555,82.8,26485,8603,399,466,85.6,672,772,87.0,205,284,72.2,0,0.2,0.4,-0.2,2,65,2,0,72,Matches,2018-2019,Huddersfield Town
Terence Kongolo,nl NED,DF,24.0,30.2,978,1275,76.7,17265,7866,444,513,86.5,427,530,80.6,99,193,51.3,1,1.1,0.6,-0.1,9,69,10,4,90,Matches,2018-2019,Huddersfield Town
Jonas Lössl,dk DEN,GK,29.0,30.9,711,1105,64.3,26054,21655,46,46,100.0,281,289,97.2,383,767,49.9,1,0.5,0.1,0.5,4,22,0,0,0,Matches,2018-2019,Huddersfield Town
Jonathan Hogg,eng ENG,MF,29.0,26.3,1289,1556,82.8,22062,5783,602,682,88.3,523,601,87.0,127,197,64.5,1,0.8,1.1,0.2,16,127,14,1,147,Matches,2018-2019,Huddersfield Town
Alex Pritchard,eng ENG,"MF,FW",25.0,23.1,691,981,70.4,10133,2557,406,481,84.4,200,280,71.4,48,109,44.0,0,1.8,1.6,-1.8,32,66,20,6,91,Matches,2018-2019,Huddersfield Town
Aaron Mooy,au AUS,"MF,FW",27.0,25.9,1073,1435,74.8,16856,5417,606,693,87.4,287,370,77.6,123,238,51.7,1,2.6,2.7,-1.6,43,143,24,8,154,Matches,2018-2019,Huddersfield Town
Philip Billing,dk DEN,MF,22.0,24.3,909,1261,72.1,16703,4691,408,489,83.4,330,455,72.5,136,236,57.6,0,1.7,1.1,-1.7,22,69,16,9,101,Matches,2018-2019,Huddersfield Town
Mathias Jørgensen,dk DEN,DF,28.0,23.9,974,1191,81.8,17693,7632,402,459,87.6,439,500,87.8,104,181,57.5,1,0.3,0.4,0.7,8,76,3,1,93,Matches,2018-2019,Huddersfield Town
Chris Löwe,de GER,"DF,MF",29.0,22.9,767,1109,69.2,13554,4429,386,454,85.0,248,348,71.3,109,220,49.5,2,1.7,1.6,0.3,20,42,24,21,64,Matches,2018-2019,Huddersfield Town
Erik Durm,de GER,DF,26.0,22.8,740,1087,68.1,11480,4444,401,488,82.2,238,354,67.2,71,155,45.8,1,0.6,0.8,0.4,11,42,18,9,61,Matches,2018-2019,Huddersfield Town
Florent Hadergjonaj,xk KVX,"DF,MF",24.0,20.5,688,973,70.7,11043,4256,371,429,86.5,217,316,68.7,69,152,45.4,0,1.5,1.3,-1.5,23,43,24,18,65,Matches,2018-2019,Huddersfield Town
Steve Mounié,bj BEN,FW,23.0,19.8,361,571,63.2,4655,836,234,341,68.6,103,154,66.9,8,18,44.4,3,1.9,1.3,1.1,18,32,3,0,34,Matches,2018-2019,Huddersfield Town
Juninho Bacuna,cw CUW,"MF,DF",20.0,15.7,565,770,73.4,10416,3609,267,314,85.0,192,242,79.3,91,167,54.5,0,1.4,1.3,-1.4,18,92,13,1,95,Matches,2018-2019,Huddersfield Town
Elias Kachunga,cd COD,"FW,MF",26.0,13.1,220,317,69.4,2864,574,135,172,78.5,55,78,70.5,12,22,54.5,0,0.2,0.5,-0.2,5,14,5,5,22,Matches,2018-2019,Huddersfield Town
Tommy Smith,eng ENG,DF,26.0,12.7,468,629,74.4,7678,2648,254,289,87.9,148,203,72.9,50,98,51.0,0,0.4,0.3,-0.4,7,32,5,3,35,Matches,2018-2019,Huddersfield Town
Laurent Depoitre,be BEL,FW,29.0,11.9,164,278,59.0,1924,384,116,177,65.5,29,60,48.3,5,7,71.4,1,0.7,0.4,0.3,9,14,2,0,20,Matches,2018-2019,Huddersfield Town
Isaac Mbenza,be BEL,"FW,MF",22.0,11.0,183,272,67.3,2816,769,101,129,78.3,56,79,70.9,17,36,47.2,1,0.9,0.7,0.1,7,11,5,5,18,Matches,2018-2019,Huddersfield Town
Karlan Grant,eng ENG,FW,20.0,9.7,149,223,66.8,1841,463,91,131,69.5,40,53,75.5,4,9,44.4,0,0.3,0.2,-0.3,8,4,3,0,14,Matches,2018-2019,Huddersfield Town
Jon Gorenc Stanković,si SVN,"MF,DF",22.0,7.9,224,297,75.4,4080,1375,87,100,87.0,106,130,81.5,25,48,52.1,0,0.1,0.1,-0.1,2,18,3,0,17,Matches,2018-2019,Huddersfield Town
Ben Hamer,eng ENG,GK,30.0,6.1,97,204,47.5,4098,3600,7,7,100.0,25,25,100.0,65,171,38.0,0,0.0,0.0,0.0,0,4,0,0,0,Matches,2018-2019,Huddersfield Town
Adama Diakhaby,fr FRA,"FW,MF",22.0,6.1,114,162,70.4,1546,227,72,93,77.4,36,46,78.3,2,8,25.0,0,0.5,0.4,-0.5,5,3,3,1,5,Matches,2018-2019,Huddersfield Town
Rajiv van La Parra,nl NED,"FW,MF",27.0,4.5,94,116,81.0,1402,203,55,61,90.2,28,34,82.4,8,11,72.7,0,0.1,0.2,-0.1,4,6,1,0,7,Matches,2018-2019,Huddersfield Town
Jason Puncheon,eng ENG,MF,32.0,4.2,165,214,77.1,2673,960,79,94,84.0,50,64,78.1,21,30,70.0,0,0.5,0.2,-0.5,5,20,4,0,26,Matches,2018-2019,Huddersfield Town
Danny Williams,us USA,MF,29.0,1.1,19,24,79.2,313,56,7,8,87.5,12,14,85.7,0,1,0.0,0,0.0,0.0,0.0,1,2,0,0,3,Matches,2018-2019,Huddersfield Town
Joel Coleman,eng ENG,GK,22.0,1.0,14,37,37.8,546,451,2,2,100.0,3,3,100.0,8,31,25.8,0,0.0,0.0,0.0,0,1,0,0,0,Matches,2018-2019,Huddersfield Town
Aaron Rowe,eng ENG,FW,17.0,0.8,13,20,65.0,171,69,8,12,66.7,5,5,100.0,0,3,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches,2018-2019,Huddersfield Town
Abdelhamid Sabiri,ma MAR,FW,21.0,0.5,7,8,87.5,62,11,7,8,87.5,0,0,,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches,2018-2019,Huddersfield Town
Demeaco Duhaney,eng ENG,DF,19.0,0.5,21,27,77.8,303,146,11,13,84.6,6,7,85.7,2,4,50.0,0,0.0,0.0,0.0,0,3,0,0,2,Matches,2018-2019,Huddersfield Town
Ramadan Sobhi,eg EGY,"FW,MF",21.0,0.9,39,50,78.0,423,131,28,31,90.3,6,11,54.5,0,2,0.0,0,0.2,0.2,-0.2,3,0,3,1,6,Matches,2018-2019,Huddersfield Town
Matty Daly,eng ENG,MF,17.0,0.8,7,13,53.8,57,11,6,8,75.0,0,2,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches,2018-2019,Huddersfield Town
Collin Quaner,de GER,FW,27.0,0.4,13,17,76.5,150,44,7,10,70.0,3,4,75.0,0,0,,0,0.1,0.1,-0.1,1,2,3,0,4,Matches,2018-2019,Huddersfield Town
Squad Total,,,26.2,38.0,13045,17777,73.4,237346,93900,6045,7200,84.0,4765,6029,79.0,1792,3398,52.7,13,19.9,17.4,-6.9,283,1023,208,93,1248,,2018-2019,Huddersfield Town
Opponent Total,,,26.5,38.0,15904,20248,78.5,273887,101737,7466,8591,86.9,6201,7373,84.1,1614,2911,55.4,56,45.2,36.1,10.8,407,1241,314,68,1590,,2018-2019,Huddersfield Town
Ahmed Hegazi,eg EGY,DF,26.0,37.6,872,1205,72.4,19108,9451,252,307,82.1,423,530,79.8,180,326,55.2,0,0.6,1.4,-0.6,7,56,8,3,65,Matches,2017-2018,West Bromwich Albion
Ben Foster,eng ENG,GK,34.0,37.0,565,1155,48.9,25634,23629,39,41,95.1,135,140,96.4,390,966,40.4,0,0.1,0.1,-0.1,2,45,1,0,1,Matches,2017-2018,West Bromwich Albion
Kieran Gibbs,eng ENG,DF,27.0,31.4,1000,1391,71.9,15562,6257,533,618,86.2,378,546,69.2,64,165,38.8,1,1.8,2.2,-0.8,22,66,23,16,97,Matches,2017-2018,West Bromwich Albion
Salomón Rondón,ve VEN,FW,27.0,30.7,564,874,64.5,7392,1287,366,485,75.5,140,228,61.4,21,44,47.7,3,2.8,2.5,0.2,23,47,14,2,66,Matches,2017-2018,West Bromwich Albion
Jay Rodriguez,eng ENG,"FW,MF",28.0,31.2,517,740,69.9,7189,1909,311,379,82.1,129,197,65.5,30,71,42.3,1,1.6,2.3,-0.6,21,51,14,2,52,Matches,2017-2018,West Bromwich Albion
Jake Livermore,eng ENG,MF,27.0,29.7,878,1133,77.5,15708,4533,374,443,84.4,372,449,82.9,106,169,62.7,2,1.9,1.8,0.1,20,108,8,3,133,Matches,2017-2018,West Bromwich Albion
Craig Dawson,eng ENG,DF,27.0,27.9,765,1114,68.7,14860,7328,314,385,81.6,318,420,75.7,117,253,46.2,0,1.2,1.1,-1.2,10,79,19,14,83,Matches,2017-2018,West Bromwich Albion
Jonny Evans,nir NIR,DF,29.0,25.2,785,983,79.9,15261,6008,293,334,87.7,366,430,85.1,114,193,59.1,2,0.9,0.4,1.1,8,58,5,2,56,Matches,2017-2018,West Bromwich Albion
Allan Nyom,cm CMR,DF,29.0,25.7,798,1102,72.4,13157,5473,435,482,90.2,274,369,74.3,71,180,39.4,1,1.1,1.5,-0.1,14,42,25,22,58,Matches,2017-2018,West Bromwich Albion
Matt Phillips,sct SCO,"MF,DF",26.0,23.3,434,704,61.6,7299,2673,245,302,81.1,127,198,64.1,50,134,37.3,2,4.1,4.0,-2.1,33,21,19,14,31,Matches,2017-2018,West Bromwich Albion
Gareth Barry,eng ENG,MF,36.0,21.4,721,963,74.9,13209,4410,323,374,86.4,282,357,79.0,100,193,51.8,1,1.4,1.3,-0.4,17,113,15,3,126,Matches,2017-2018,West Bromwich Albion
Chris Brunt,nir NIR,"MF,DF",32.0,21.3,733,1082,67.7,15546,6796,284,328,86.6,274,370,74.1,160,339,47.2,7,4.3,4.5,2.7,37,98,24,10,100,Matches,2017-2018,West Bromwich Albion
Grzegorz Krychowiak,pl POL,MF,27.0,18.2,641,831,77.1,11378,3332,301,354,85.0,248,303,81.8,70,122,57.4,2,1.8,1.1,0.2,13,76,9,1,101,Matches,2017-2018,West Bromwich Albion
James McClean,ie IRL,"MF,FW",28.0,15.6,288,462,62.3,4418,1011,163,201,81.1,87,131,66.4,25,76,32.9,0,0.8,1.4,-0.8,18,12,21,18,12,Matches,2017-2018,West Bromwich Albion
Claudio Yacob,ar ARG,MF,30.0,10.0,312,374,83.4,5511,1591,130,146,89.0,152,174,87.4,25,44,56.8,0,0.0,0.1,0.0,1,34,0,0,28,Matches,2017-2018,West Bromwich Albion
Hal Robson-Kanu,wls WAL,"FW,MF",28.0,9.2,127,208,61.1,1671,458,76,104,73.1,33,52,63.5,7,21,33.3,0,0.4,0.5,-0.4,8,15,5,2,24,Matches,2017-2018,West Bromwich Albion
Sam Field,eng ENG,MF,19.0,6.0,128,177,72.3,2253,806,65,83,78.3,47,57,82.5,13,25,52.0,0,0.2,0.2,-0.2,4,13,8,1,32,Matches,2017-2018,West Bromwich Albion
Gareth McAuley,nir NIR,DF,37.0,5.1,85,130,65.4,1995,1107,24,31,77.4,36,47,76.6,24,44,54.5,0,0.0,0.0,0.0,0,16,2,0,10,Matches,2017-2018,West Bromwich Albion
Oliver Burke,sct SCO,"FW,MF",20.0,4.1,114,151,75.5,1509,284,76,91,83.5,28,39,71.8,5,9,55.6,2,0.5,0.4,1.5,4,4,3,2,6,Matches,2017-2018,West Bromwich Albion
Nacer Chadli,be BEL,"FW,MF",27.0,2.9,54,77,70.1,617,122,32,40,80.0,15,21,71.4,1,5,20.0,0,0.1,0.1,-0.1,2,3,2,0,7,Matches,2017-2018,West Bromwich Albion
James Morrison,sct SCO,MF,31.0,2.3,77,91,84.6,1111,258,44,50,88.0,23,26,88.5,5,6,83.3,0,0.1,0.1,-0.1,3,5,1,0,11,Matches,2017-2018,West Bromwich Albion
Daniel Sturridge,eng ENG,FW,27.0,1.3,23,33,69.7,388,148,13,18,72.2,7,9,77.8,3,5,60.0,0,0.2,0.0,-0.2,3,4,2,0,6,Matches,2017-2018,West Bromwich Albion
Boaz Myhill,wls WAL,GK,34.0,1.0,10,19,52.6,482,445,0,0,,2,2,100.0,8,17,47.1,0,0.0,0.0,0.0,0,1,0,0,0,Matches,2017-2018,West Bromwich Albion
Rekeem Harper,eng ENG,MF,17.0,0.2,4,5,80.0,82,30,1,1,100.0,2,3,66.7,1,1,100.0,0,0.1,0.0,-0.1,2,0,0,0,1,Matches,2017-2018,West Bromwich Albion
Squad Total,,,29.1,38.0,10495,15004,69.9,201340,89346,4694,5597,83.9,3898,5098,76.5,1590,3408,46.7,24,25.9,26.9,-1.9,272,967,228,115,1106,,2017-2018,West Bromwich Albion
Opponent Total,,,26.9,38.0,17631,22103,79.8,316202,111619,7911,8976,88.1,7140,8468,84.3,2013,3520,57.2,44,36.8,36.5,7.2,384,1568,333,80,1924,,2017-2018,West Bromwich Albion
Joe Allen,wls WAL,MF,27.0,34.9,1114,1403,79.4,17666,5350,547,620,88.2,437,531,82.3,75,128,58.6,6,2.8,2.6,3.2,31,116,26,4,165,Matches,2017-2018,Stoke City
Xherdan Shaqiri,ch SUI,"MF,FW",25.0,33.8,923,1293,71.4,16836,5750,418,472,88.6,314,418,75.1,152,307,49.5,7,7.1,7.4,-0.1,75,94,59,12,161,Matches,2017-2018,Stoke City
Jack Butland,eng ENG,GK,24.0,35.0,643,1283,50.1,28682,25851,35,36,97.2,163,173,94.2,444,1062,41.8,0,0.0,0.1,0.0,1,54,0,0,0,Matches,2017-2018,Stoke City
Kurt Zouma,fr FRA,DF,22.0,32.1,869,1154,75.3,17015,7595,339,385,88.1,400,516,77.5,113,207,54.6,0,0.4,0.3,-0.4,6,74,3,0,86,Matches,2017-2018,Stoke City
Erik Pieters,nl NED,DF,28.0,30.2,916,1310,69.9,15616,6670,440,529,83.2,371,516,71.9,88,186,47.3,1,1.5,1.5,-0.5,13,94,22,12,113,Matches,2017-2018,Stoke City
Mame Biram Diouf,sn SEN,"FW,DF",29.0,28.8,347,630,55.1,4835,1503,213,320,66.6,108,201,53.7,10,38,26.3,2,1.9,0.9,0.1,20,26,7,2,43,Matches,2017-2018,Stoke City
Ryan Shawcross,eng ENG,DF,29.0,26.3,449,668,67.2,9003,4503,136,181,75.1,233,322,72.4,66,136,48.5,1,0.3,0.2,0.7,2,39,1,0,46,Matches,2017-2018,Stoke City
Eric Maxim Choupo-Moting,cm CMR,"FW,MF",28.0,25.7,477,688,69.3,6566,1710,272,346,78.6,140,191,73.3,26,51,51.0,5,3.1,2.5,1.9,20,28,18,4,56,Matches,2017-2018,Stoke City
Darren Fletcher,sct SCO,MF,33.0,24.7,843,1105,76.3,16453,5280,309,374,82.6,362,420,86.2,138,241,57.3,1,1.6,1.9,-0.6,23,77,18,3,100,Matches,2017-2018,Stoke City
Geoff Cameron,us USA,"DF,MF",32.0,16.9,404,581,69.5,7362,3256,166,191,86.9,187,244,76.6,44,120,36.7,0,0.1,0.3,-0.1,6,39,3,0,48,Matches,2017-2018,Stoke City
Moritz Bauer,at AUT,"DF,MF",25.0,14.5,293,465,63.0,5276,2454,136,168,81.0,100,158,63.3,47,107,43.9,0,0.9,1.1,-0.9,13,18,10,8,19,Matches,2017-2018,Stoke City
Peter Crouch,eng ENG,FW,36.0,17.4,375,643,58.3,4463,1102,282,447,63.1,68,122,55.7,9,16,56.3,2,2.8,1.9,-0.8,21,40,7,0,41,Matches,2017-2018,Stoke City
Kevin Wimmer,at AUT,DF,24.0,14.7,448,584,76.7,8481,3862,198,217,91.2,182,235,77.4,59,114,51.8,0,0.2,0.1,-0.2,3,45,0,0,40,Matches,2017-2018,Stoke City
Bruno Martins Indi,nl NED,DF,25.0,13.8,290,366,79.2,5879,2046,98,111,88.3,150,181,82.9,41,67,61.2,0,0.1,0.1,-0.1,3,25,3,3,28,Matches,2017-2018,Stoke City
Badou Ndiaye,sn SEN,MF,26.0,12.6,283,348,81.3,4731,1649,142,155,91.6,99,123,80.5,31,44,70.5,1,0.3,0.4,0.7,7,32,6,1,46,Matches,2017-2018,Stoke City
Ramadan Sobhi,eg EGY,"MF,FW",20.0,13.8,340,452,75.2,4533,1308,206,250,82.4,99,130,76.2,11,19,57.9,0,1.0,1.1,-1.0,15,19,15,2,38,Matches,2017-2018,Stoke City
Jesé,es ESP,"FW,MF",24.0,6.8,118,162,72.8,1739,363,68,80,85.0,32,45,71.1,9,14,64.3,1,0.7,0.7,0.3,9,7,6,0,14,Matches,2017-2018,Stoke City
Glen Johnson,eng ENG,DF,32.0,6.1,159,242,65.7,3160,1662,67,77,87.0,63,91,69.2,25,59,42.4,0,0.2,0.5,-0.2,4,18,9,2,23,Matches,2017-2018,Stoke City
Tom Edwards,eng ENG,"DF,MF",18.0,5.3,151,217,69.6,2619,1196,73,79,92.4,55,71,77.5,17,51,33.3,0,0.4,0.3,-0.4,1,9,3,2,11,Matches,2017-2018,Stoke City
Charlie Adam,sct SCO,MF,31.0,4.6,168,285,58.9,3889,1505,51,66,77.3,72,96,75.0,45,107,42.1,0,1.2,1.4,-1.2,6,28,7,4,30,Matches,2017-2018,Stoke City
Kostas Stafylidis,gr GRE,"DF,MF",23.0,3.7,98,147,66.7,1562,577,43,51,84.3,44,68,64.7,6,15,40.0,0,0.0,0.1,0.0,2,5,1,0,8,Matches,2017-2018,Stoke City
Saido Berahino,bi BDI,FW,23.0,5.5,75,99,75.8,1078,138,42,52,80.8,27,34,79.4,3,5,60.0,1,0.6,0.3,0.4,3,3,3,1,9,Matches,2017-2018,Stoke City
Lee Grant,eng ENG,GK,34.0,3.0,57,93,61.3,2162,1870,7,7,100.0,18,18,100.0,32,67,47.8,0,0.0,0.0,0.0,0,4,0,0,0,Matches,2017-2018,Stoke City
Josh Tymon,eng ENG,DF,18.0,1.8,76,91,83.5,1265,377,41,44,93.2,25,32,78.1,6,8,75.0,0,0.0,0.0,0.0,0,8,0,0,6,Matches,2017-2018,Stoke City
Ibrahim Afellay,nl NED,MF,31.0,1.8,72,82,87.8,1326,256,29,32,90.6,35,39,89.7,6,8,75.0,0,0.0,0.0,0.0,0,6,0,0,4,Matches,2017-2018,Stoke City
Stephen Ireland,ie IRL,"MF,FW",30.0,1.5,57,70,81.4,788,200,37,40,92.5,13,14,92.9,3,7,42.9,0,0.0,0.0,0.0,1,5,0,0,7,Matches,2017-2018,Stoke City
Lasse Sørensen,dk DEN,MF,17.0,0.8,41,56,73.2,711,350,20,26,76.9,16,19,84.2,5,7,71.4,0,0.1,0.1,-0.1,2,6,0,0,2,Matches,2017-2018,Stoke City
Bojan Krkić,es ESP,MF,26.0,0.8,22,27,81.5,358,69,13,16,81.3,5,6,83.3,3,3,100.0,0,0.0,0.0,0.0,1,1,0,0,2,Matches,2017-2018,Stoke City
Tyrese Campbell,eng ENG,FW,17.0,0.9,10,20,50.0,129,47,6,12,50.0,4,6,66.7,0,0,,0,0.0,0.0,0.0,0,1,3,0,4,Matches,2017-2018,Stoke City
Julien Ngoy,be BEL,MF,19.0,0.2,4,5,80.0,62,0,1,2,50.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2017-2018,Stoke City
Squad Total,,,27.5,38.0,10122,14569,69.5,194245,88499,4435,5386,82.3,3825,5023,76.1,1514,3194,47.4,28,27.4,25.8,0.6,288,921,230,60,1150,,2017-2018,Stoke City
Opponent Total,,,26.9,38.0,16444,21090,78.0,286852,106086,7479,8547,87.5,6730,8047,83.6,1658,3252,51.0,49,46.3,41.9,2.7,424,1297,377,91,1749,,2017-2018,Stoke City
Łukasz Fabiański,pl POL,GK,32.0,38.0,752,1276,58.9,28523,23783,70,70,100.0,257,262,98.1,423,936,45.2,0,0.0,0.1,0.0,1,16,0,0,0,Matches,2017-2018,Swansea City
Alfie Mawson,eng ENG,DF,23.0,38.0,1420,1755,80.9,31280,11208,407,462,88.1,732,847,86.4,268,403,66.5,1,0.6,0.6,0.4,5,87,5,1,92,Matches,2017-2018,Swansea City
Martin Olsson,se SWE,DF,29.0,35.0,1100,1596,68.9,17189,6212,624,710,87.9,362,530,68.3,88,264,33.3,1,0.8,1.2,0.2,13,65,24,18,87,Matches,2017-2018,Swansea City
Kyle Naughton,eng ENG,DF,28.0,33.7,1525,2111,72.2,25319,10879,791,929,85.1,582,804,72.4,123,277,44.4,2,0.5,0.8,1.5,12,160,17,7,193,Matches,2017-2018,Swansea City
Jordan Ayew,gh GHA,"FW,MF",25.0,31.7,700,887,78.9,9413,1239,420,486,86.4,201,256,78.5,30,58,51.7,2,2.0,1.6,0.0,16,33,21,2,50,Matches,2017-2018,Swansea City
Federico Fernández,ar ARG,DF,28.0,29.7,1001,1218,82.2,21296,9597,272,293,92.8,557,646,86.2,165,254,65.0,1,0.7,1.0,0.3,6,60,4,1,72,Matches,2017-2018,Swansea City
Tom Carroll,eng ENG,MF,25.0,28.6,1235,1577,78.3,21581,7289,575,640,89.8,472,566,83.4,147,283,51.9,4,4.1,4.1,-0.1,47,161,31,8,179,Matches,2017-2018,Swansea City
Mike van der Hoorn,nl NED,DF,24.0,21.6,669,882,75.9,13736,5320,215,250,86.0,340,400,85.0,106,210,50.5,0,0.6,0.2,-0.6,5,42,4,3,41,Matches,2017-2018,Swansea City
Sam Clucas,eng ENG,MF,26.0,22.7,689,872,79.0,11783,2786,327,375,87.2,274,333,82.3,68,117,58.1,1,1.3,1.1,-0.3,15,46,3,1,61,Matches,2017-2018,Swansea City
Ki Sung-yueng,kr KOR,MF,28.0,20.8,758,903,83.9,14235,3472,312,344,90.7,321,363,88.4,102,153,66.7,2,1.5,1.9,0.5,19,52,11,1,64,Matches,2017-2018,Swansea City
Nathan Dyer,eng ENG,"MF,FW",29.0,14.5,426,553,77.0,5556,976,273,313,87.2,113,155,72.9,9,24,37.5,0,0.8,1.1,-0.8,10,19,15,1,34,Matches,2017-2018,Swansea City
Tammy Abraham,eng ENG,FW,19.0,19.2,206,314,65.6,2754,557,123,173,71.1,56,89,62.9,10,22,45.5,1,1.6,0.8,-0.6,12,16,6,2,20,Matches,2017-2018,Swansea City
Leroy Fer,nl NED,MF,27.0,15.5,515,643,80.1,9132,1993,234,278,84.2,199,235,84.7,65,98,66.3,1,1.0,0.8,0.0,10,52,9,1,66,Matches,2017-2018,Swansea City
André Ayew,gh GHA,"MF,FW",27.0,10.6,247,314,78.7,3303,538,151,174,86.8,71,88,80.7,9,19,47.4,2,1.3,0.8,0.7,12,12,7,0,24,Matches,2017-2018,Swansea City
Roque Mesa,es ESP,MF,28.0,8.4,422,489,86.3,7233,1664,202,220,91.8,168,194,86.6,43,53,81.1,0,0.2,0.3,-0.2,5,21,3,0,36,Matches,2017-2018,Swansea City
Andy King,wls WAL,MF,28.0,7.9,296,359,82.5,5218,1314,132,145,91.0,125,148,84.5,28,50,56.0,1,0.2,0.5,0.8,4,35,5,2,38,Matches,2017-2018,Swansea City
Renato Sanches,pt POR,MF,19.0,7.8,330,420,78.6,5364,1268,162,182,89.0,123,157,78.3,28,55,50.9,0,0.3,0.4,-0.3,6,33,3,1,45,Matches,2017-2018,Swansea City
Wilfried Bony,ci CIV,FW,28.0,7.9,131,209,62.7,1637,308,92,124,74.2,31,53,58.5,3,4,75.0,0,0.2,0.2,-0.2,4,13,2,0,11,Matches,2017-2018,Swansea City
Luciano Narsingh,nl NED,"FW,MF",26.0,6.9,163,219,74.4,2205,524,113,130,86.9,41,57,71.9,5,11,45.5,0,1.1,0.5,-1.1,11,12,9,4,15,Matches,2017-2018,Swansea City
Wayne Routledge,eng ENG,"MF,FW",32.0,4.8,115,177,65.0,1676,481,58,71,81.7,46,64,71.9,5,19,26.3,0,0.4,0.7,-0.4,6,8,6,3,17,Matches,2017-2018,Swansea City
Leon Britton,eng ENG,MF,34.0,3.4,127,138,92.0,2255,403,49,53,92.5,70,74,94.6,7,8,87.5,0,0.0,0.0,0.0,0,6,0,0,11,Matches,2017-2018,Swansea City
Connor Roberts,wls WAL,DF,21.0,3.0,131,181,72.4,2076,533,70,80,87.5,45,61,73.8,11,25,44.0,0,0.0,0.1,0.0,0,6,2,0,11,Matches,2017-2018,Swansea City
Oliver McBurnie,sct SCO,"FW,MF",21.0,3.1,68,103,66.0,777,116,46,62,74.2,11,22,50.0,2,3,66.7,1,0.7,0.5,0.3,1,3,2,0,9,Matches,2017-2018,Swansea City
Kyle Bartley,eng ENG,DF,26.0,2.6,93,115,80.9,1796,686,32,37,86.5,51,57,89.5,9,18,50.0,0,0.3,0.2,-0.3,2,8,0,0,7,Matches,2017-2018,Swansea City
Àngel Rangel,es ESP,DF,34.0,1.7,99,118,83.9,1605,517,51,57,89.5,39,46,84.8,6,10,60.0,0,0.1,0.1,-0.1,1,7,1,1,11,Matches,2017-2018,Swansea City
Jay Fulton,sct SCO,MF,23.0,0.2,5,8,62.5,83,10,1,2,50.0,4,6,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2017-2018,Swansea City
Squad Total,,,27.2,38.0,13223,17437,75.8,247025,93673,5802,6660,87.1,5291,6513,81.2,1760,3374,52.2,20,20.2,19.7,-0.2,223,973,190,57,1194,,2017-2018,Swansea City
Opponent Total,,,27.1,38.0,17707,21866,81.0,311296,110365,8115,9060,89.6,7233,8379,86.3,1802,3261,55.3,37,42.1,38.5,-5.1,403,1482,366,88,1838,,2017-2018,Swansea City
